Country,Year,Deaths
Indonesia,2010,1294.0
Indonesia,2011,129.0
Indonesia,2012,107.0
Indonesia,2013,173.0
Indonesia,2014,243.0
Indonesia,2015,84.0
Indonesia,2016,270.0
Indonesia,2017,99.0
Indonesia,2018,5310.0
Indonesia,2019,469.0
Indonesia,2020,210.0
Indonesia,2021,481.0
Myanmar,2010,113.0
Myanmar,2011,225.0
Myanmar,2012,40.0
Myanmar,2013,23.0
Myanmar,2014,0.0
Myanmar,2015,213.0
Myanmar,2016,131.0
Myanmar,2017,3.0
Myanmar,2018,67.0
Myanmar,2019,128.0
Myanmar,2020,174.0
Myanmar,2021,0.0
Philippines,2010,1113.0
Philippines,2011,1989.0
Philippines,2012,2415.0
Philippines,2013,7750.0
Philippines,2014,331.0
Philippines,2015,201.0
Philippines,2016,87.0
Philippines,2017,233.0
Philippines,2018,832.0
Philippines,2019,1005.0
Philippines,2020,202.0
Philippines,2021,116.0
Cambodia,2010,8.0
Cambodia,2011,247.0
Cambodia,2012,14.0
Cambodia,2013,200.0
Cambodia,2014,45.0
Cambodia,2015,0.0
Cambodia,2016,0.0
Cambodia,2017,0.0
Cambodia,2018,0.0
Cambodia,2019,12.0
Cambodia,2020,38.0
Cambodia,2021,0.0
Thailand,2010,260.0
Thailand,2011,923.0
Thailand,2012,0.0
Thailand,2013,84.0
Thailand,2014,93.0
Thailand,2015,3.0
Thailand,2016,35.0
Thailand,2017,150.0
Thailand,2018,0.0
Thailand,2019,26.0
Thailand,2020,44.0
Thailand,2021,16.0
Vietnam,2010,221.0
Vietnam,2011,138.0
Vietnam,2012,72.0
Vietnam,2013,215.0
Vietnam,2014,38.0
Vietnam,2015,52.0
Vietnam,2016,189.0
Vietnam,2017,284.0
Vietnam,2018,134.0
Vietnam,2019,59.0
Vietnam,2020,310.0
Vietnam,2021,24.0
Laos,2010,0.0
Laos,2011,48.0
Laos,2012,0.0
Laos,2013,100.0
Laos,2014,0.0
Laos,2015,4.0
Laos,2016,5.0
Laos,2017,0.0
Laos,2018,136.0
Laos,2019,19.0
Laos,2020,2.0
Laos,2021,0.0
Malaysia,2010,0.0
Malaysia,2011,18.0
Malaysia,2012,0.0
Malaysia,2013,4.0
Malaysia,2014,17.0
Malaysia,2015,25.0
Malaysia,2016,0.0
Malaysia,2017,9.0
Malaysia,2018,2.0
Malaysia,2019,2.0
Malaysia,2020,0.0
Malaysia,2021,36.0
Timor-Leste,2010,0.0
Timor-Leste,2011,0.0
Timor-Leste,2012,0.0
Timor-Leste,2013,0.0
Timor-Leste,2014,2.0
Timor-Leste,2015,0.0
Timor-Leste,2016,0.0
Timor-Leste,2017,0.0
Timor-Leste,2018,0.0
Timor-Leste,2019,0.0
Timor-Leste,2020,3.0
Timor-Leste,2021,41.0
